id,Specific Hashtags,Underlying Hashtags,Comments,"Positive, Negative, & Neutral Scores",User Engagement Sentiment Score
50,#SeasonalFashion,#WarmAndStylish,"""This look is the definition of warm and stylish! Those layers are so well put together. #WarmAndStylish"", ""Absolutely slaying the fashion game with this warm and stylish outfit!  #WarmAndStylish"", ""Decent attempt at being warm and stylish, but it's a bit too much. #WarmAndStylish"", ""Honestly, this look is trying too hard. It's not as stylish as it thinks it is. #WarmAndStylish""","[0.6037, 0.3436, 0.2263, 0.0, 0.4588, -0.1027]",0.255
51,#SeasonalFashion,#FrostyFashion,"""Frosty fashion at its finest! Loving the cool tones and winter vibes.  #FrostyFashion"", ""This frosty fashion look is giving me serious style goals. So elegant! #FrostyFashion"", ""Nice attempt at frosty fashion, but it lacks a bit of creativity. #FrostyFashion"", ""The frosty theme doesn't work here. It's just too cold and uninviting. #FrostyFashion""","[0.7574, 0.7494, 0.4215, 0.5267, 0.0]",0.491
52,#SeasonalFashion,#ChillVibes,"""Chill vibes all the way! This outfit radiates comfort and relaxation. Love it!  #ChillVibes"", ""Perfect outfit for those days when you just want to chill. Comfy and stylish! #ChillVibes"", ""It's alright, I guess. Not really feeling the chill vibes, though. #ChillVibes"", ""This outfit gives off more lazy vibes than chill vibes. Not a fan. #ChillVibes""","[0.893, 0.6476, 0.25, -0.1498, 0.0, -0.5796]",0.176866667
53,#SeasonalFashion,#KnitwearLove,"""Absolutely in love with knitwear! So cozy and stylish, especially during the winter months. #KnitwearLove"", ""Knitwear forever! This look is a perfect example of comfort and fashion combined. #KnitwearLove"", ""Knitwear is nice, but this look doesn't stand out much. #KnitwearLove"", ""Not a fan of knitwear. It always looks so bulky and unflattering. #KnitwearLove""","[0.6975, 0.0, 0.7574, 0.4215, 0.0, -0.2411]",0.27255
54,#SeasonalFashion,#WinterEssentials,"""These winter essentials are a must-have! From the boots to the coat, everything is on point. #WinterEssentials"", ""Can't survive winter without these essentials! Practical and stylish. #WinterEssentials"", ""Decent selection of winter essentials, but nothing extraordinary. #WinterEssentials"", ""These so-called winter essentials are just too basic. Where's the creativity? #WinterEssentials""","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3818]",0.063633333
55,#SeasonalFashion,#SnowyFashion,"""Snowy fashion done right! This look is both trendy and weather-appropriate. #SnowyFashion"", ""Snowy days call for snowy fashion, and this outfit nails it! So stylish and practical. #SnowyFashion"", ""It's an okay snowy fashion attempt, but nothing too special. #SnowyFashion"", ""This snowy fashion look is just too much. It's like a walking snowstorm. Not a fan. #SnowyFashion""","[0.0, 0.0, 0.0, 0.2263, -0.438, 0.1376]",-0.01235
56,#SeasonalFashion,#FauxFurFashion,"""Faux fur for the win! This outfit is not only cruelty-free but also incredibly stylish. #FauxFurFashion"", ""Obsessed with faux fur fashion! So glamorous and guilt-free. #FauxFurFashion"", ""Faux fur is alright, but this look doesn't wow me. #FauxFurFashion"", ""I just can't get on board with faux fur. It looks cheap and tacky. #FauxFurFashion""","[0.4003, 0.5904, 0.25, -0.6259, 0.0]",0.12296
57,#SeasonalFashion,#WinterOOTD,"""Obsessed with this #WinterOOTD! The perfect blend of style and warmth."", ""Winter OOTDs are my favorite – cozy and stylish at the same time!  #WinterOOTD"", ""This #WinterOOTD is giving me major fashion goals. Love how effortlessly chic it is!"", ""A well-curated #WinterOOTD can make a cold day feel so much brighter and stylish."", ""Feeling the winter vibes with this fabulous #WinterOOTD. It's a fashion win!"", ""The way accessories are paired in this #WinterOOTD is just perfection. Love it!"", ""Winter OOTDs like this make me excited for the colder weather. So stylish!"", ""I can't get enough of the creativity in this #WinterOOTD. It's a fashion masterpiece!"", ""Not really feeling the hype around #WinterOOTD. It seems like too much effort for a casual day."", ""This #WinterOOTD trend just feels overrated. I don't see the appeal."", ""Winter OOTDs always seem forced and uncomfortable. Not my cup of tea. #WinterOOTD"", ""I don't understand the obsession with #WinterOOTD. It's just clothes for the season, right?""","[0.7424, 0.5093, 0.8502, 0.4364, 0.8622, 0.8478, 0.636, 0.7901, 0.4045, 0.0, -0.6808, 0.2584, 0.0]",0.435115385
58,#SeasonalFashion,#WinterCoat,"""This winter coat is a game-changer! It's not just keeping me warm but also elevating my entire look. #WinterCoat"", ""A standard winter coat, nothing too special. It gets the job done. #WinterCoat"", ""I bought a #WinterCoat online, and it looked nothing like the picture. Not happy with the purchase.""","[0.1882, 0.0, -0.3089, 0.0, -0.6259]",-0.14932
59,#SeasonalFashion,#WinterAccessories,"""Obsessed with these winter accessories! They add the perfect touch of style and warmth to any outfit. #WinterAccessories"", ""Decent selection of winter accessories. They serve their purpose. #WinterAccessories"", ""Bought some #WinterAccessories, and they started falling apart after just a few uses. Not worth the money.""","[0.7424, 0.0, 0.0, -0.3107]",0.107925
60,#SeasonalFashion,#FashionOnIce,"""Living for the fashion on ice! This sleek and stylish look is perfect for a winter evening out. #FashionOnIce"", ""Interesting concept with #FashionOnIce, but it's not something I would wear casually."", ""Who came up with the idea of #FashionOnIce? It's impractical and just looks uncomfortable.""","[0.6114, 0.4019, 0.2617, -0.3818]",0.2233
61,#SeasonalFashion,#CuddleWeather,"""Absolutely loving the cozy vibes of #CuddleWeather! Perfect time to snuggle up with a warm blanket and a good book."", ""I guess #CuddleWeather is nice, but I prefer the warmth of summer."", ""Not a fan of #CuddleWeather. It just makes me want to stay in bed all day, and I have things to do!""","[0.9183, 0.4215, 0.6124, -0.1685, 0.0]",0.35674
62,#SeasonalFashion,#SnowflakeStyle,"""Incorporating #SnowflakeStyle into my winter wardrobe. It adds a whimsical and festive touch! "", ""I see the appeal of #SnowflakeStyle, but it's not really my thing."", ""Tried out #SnowflakeStyle, and it just looked too cheesy. Not my style at all.""","[0.5562, 0.0, 0.0, 0.0, 0.0]",0.11124
63,#SeasonalFashion,#WinterHues,"""Embracing the beautiful #WinterHues in my wardrobe! The deep blues and rich burgundies are so elegant."", ""#WinterHues are okay, but I prefer brighter colors regardless of the season."", ""I don't get the hype around #WinterHues. They just make everything look dull and depressing.""","[0.915, 0.2263, 0.5267, -0.6486]",0.25485
64,#SeasonalFashion,#WinterGlam,"""Bringing the sparkle to winter with some #WinterGlam! Sequins and metallics are a must during the festive season."", ""I'm not really into all the glitz and glamour of #WinterGlam. It's a bit too flashy for my taste."", ""Tried out #WinterGlam and ended up feeling like a walking disco ball. Not my style at all.""","[0.7263, 0.5267, 0.4588]",0.5706
65,#SeasonalFashion,#PufferJacket,"""This #PufferJacket is a lifesaver in the cold! It's so warm and cozy, and the design is on point."", ""A typical #PufferJacket, nothing special but does the job."", ""I hate how bulky #PufferJackets make me look. Not a fan of the style.""","[0.7638, 0.0, 0.0, -0.1603, -0.687]",-0.0167
66,#SeasonalFashion,#WinterWonderWear,"""Dressing up in my #WinterWonderWear makes me feel like a snow queen! Love the magical vibes it brings to my look. "", ""I tried out #WinterWonderWear, and it was okay. Nothing extraordinary."", ""Not a fan of #WinterWonderWear. It just looks too over-the-top and impractical.""","[0.7901, 0.0, 0.2263, -0.2411]",0.193825
67,#SeasonalFashion,#SpringFashion,"Absolutely loving the vibrant colors and fresh designs! Perfect for bringing in the spring vibes.,Spring fashion is all about renewal and these outfits capture that essence beautifully. Such a refreshing collection!,The spring fashion trends this year are interesting. Not sure if they all fit my style, but it's cool to see the variety.,I appreciate the effort put into these designs, but some might be a bit too bold for my taste. Different strokes for different folks!,Not feeling the spring fashion this time. The patterns are too busy, and the colors clash in some pieces.,Spring fashion should be light and elegant, but some of these outfits just seem over-the-top and impractical. Not my cup of tea.","[0.9343, 0.6114, 0.5003, 0.4497, 0.4019, 0.5707, -0.0951, 0.0, 0.4767, 0.0]",0.38499
68,#SeasonalFashion,#BloomingStyle,"Embracing #BloomingStyle with these floral outfits! A perfect blend of elegance and charm.,The floral patterns in #BloomingStyle are nice, but I'm not sure if they suit my personal style.,Not a fan of the busy floral prints in #BloomingStyle. They seem too overwhelming and clashy.","[0.8687, 0.4215, -0.3491, -0.2411]",0.175
69,#SeasonalFashion,#FloralFashion,"Floral prints are timeless! These outfits are so chic and feminine. Perfect for a spring garden party!,Floral fashion is my go-to every spring. Can't get enough of these beautiful patterns and the way they brighten up any wardrobe.,Floral prints are nice, but I feel like they can be a bit cliché. These designs are okay, but nothing groundbreaking.,I appreciate the effort to incorporate florals, but it's not something I would wear regularly. Maybe for a special occasion.,Floral fashion is overrated. These prints are too loud and can be overwhelming. Not my style at all.,I expected more innovation in floral fashion, but these designs seem predictable. A bit disappointed with the lack of creativity.","[0.8666, 0.7783, 0.4215, 0.6808, 0.0, 0.4019, 0.5499, 0.0, 0.4391, -0.5719]",0.35662
70,#SeasonalFashion,#SpringEssentials,"Loving these #SpringEssentials! They're a must-have for a stylish and comfortable season.,The #SpringEssentials collection is practical, but I expected a bit more excitement in the designs.,Some of the #SpringEssentials don't align with my taste. They seem a bit too basic for my liking.","[0.8172, 0.0, 0.6946, 0.4019]",0.478425
71,#SeasonalFashion,#FreshSpringLooks,"These #FreshSpringLooks are giving me a wardrobe refresh! So vibrant and full of life.,#FreshSpringLooks are okay, but I was hoping for more variety in the styles. It feels a bit repetitive.,Not impressed with the #FreshSpringLooks. The color choices are a bit dull, lacking the freshness.","[0.794, 0.2263, 0.296, -0.6433, 0.0]",0.1346
72,#SeasonalFashion,#BlossomFashion,"#BlossomFashion is blooming with creativity! The designs are innovative and eye-catching.,The creativity in #BlossomFashion is appreciated, but some pieces might be too bold for everyday wear.,Not feeling the avant-garde approach in #BlossomFashion. The designs are too eccentric for my taste.","[0.6996, 0.7096, 0.5267, -0.0951]",0.4602
73,#SeasonalFashion,#SummerFashion,"Embracing the heat with #SummerFashion! These styles are perfect for staying chic in the sun.,#SummerFashion is alright, but some pieces seem too casual for my liking. I expected a bit more elegance.,Not impressed with #SummerFashion. The styles are too generic, lacking the wow factor I was hoping for.","[0.7263, 0.25, 0.8844, -0.3724, 0.765]",0.45066
74,#SeasonalFashion,#SunshineStyle,"#SunshineStyle is radiating positivity! These outfits are a ray of sunshine in my wardrobe.,The positivity in #SunshineStyle is nice, but I'm not sure if all the pieces align with my personal style.,Not a fan of #SunshineStyle. The colors are too bright, and the styles are a bit too casual for me.","[0.7777, 0.7269, -0.3491, 0.2354, 0.2023]",0.31864
75,#SeasonalFashion,#SummerVibes,"Embracing the laid-back #SummerVibes with these easygoing and stylish outfits. Perfect for the season.,#SummerVibes are nice, but some of the styles might be too casual for certain occasions.,Not feeling the #SummerVibes. The styles lack the sophistication I look for in summer fashion.","[0.7184, 0.4215, 0.5927, -0.396]",0.33415
76,#SeasonalFashion,#SunnyDays,"These outfits are perfect for bright #SunnyDays! Loving the combination of style and comfort.,#SunnyDays collection is decent, but I expected a bit more variety in the designs.,Not impressed with #SunnyDays. The styles are too basic and don't stand out as much as I hoped.","[0.923, 0.0, 0.0, 0.0119]",0.233725
77,#SeasonalFashion,#CoolSummerLooks,"These cool summer looks are giving me major vacation vibes! Love the relaxed and breezy feel of the outfits.,Perfect for beating the summer heat! These looks are not only stylish but also practical. Great job!,Cool summer looks are nice, but I'm not sure if they suit my personal style. I'll have to think about incorporating some pieces.,I appreciate the effort to create cool summer looks, but some pieces might be too casual for certain occasions.,Not impressed with the cool summer looks. They seem too generic and lack the wow factor I was hoping for.,These summer looks are a miss for me. The styles are too laid-back, and I was expecting something more exciting for the season.","[0.9128, 0.8217, 0.6249, -0.3491, 0.7269, 0.5927, 0.6182, -0.1531, 0.5413]",0.481811111
78,#SeasonalFashion,#SummerEssentials,"These #SummerEssentials are a must-have for a stylish season. Practical and on-trend!,The practicality of #SummerEssentials is appreciated, but some designs lack the wow factor.,Not a fan of #SummerEssentials. The styles are too predictable, and the excitement is missing.","[0.0, 0.5106, 0.5023, -0.2411, 0.25]",0.20436
79,#SeasonalFashion,#LightAndBreezy,"The light and breezy outfits are perfect for warm weather! I can imagine myself feeling so comfortable and stylish in these.,I'm loving the emphasis on comfort and style with these light and breezy looks. They're a breath of fresh air!,The light and breezy trend is nice, but I'm not sure if it suits all body types. Would need to try some pieces to see.,These light and breezy outfits look comfortable, but I wonder how practical they are for everyday wear.,The light and breezy style is too casual for my taste. I prefer outfits with more structure and sophistication.,Not a fan of the light and breezy trend. The outfits seem too plain and lack the excitement I look for in fashion.","[0.8918, 0.8398, 0.4215, -0.3491, 0.5106, 0.0, 0.2023, -0.016]",0.3126125
80,#SeasonalFashion,#SummerOOTD,"Rocking my #SummerOOTD with confidence! These outfits are perfect for making a style statement.,#SummerOOTD has some interesting pieces, but I'm not sure if they all fit my personal style.,Not feeling the #SummerOOTD. The styles are too bold and attention-grabbing for my taste.","[0.807, 0.4019, 0.204, 0.3027]",0.4289
81,#SeasonalFashion,#FallFashion,"Fall fashion is my favorite! These cozy and warm looks are perfect for the upcoming season. Loving the earthy tones!,The fall fashion collection is on point! The layering, the rich colors – it's all so stylish and comfortable.,Fall fashion is nice, but some of these pieces might be too heavy for the early autumn days. A bit of a mixed bag for me.,I appreciate the effort in the fall fashion lineup, but it doesn't stand out as much as I expected. Solid but not spectacular.,Not feeling the fall fashion this year. The colors are too muted, and the styles are a bit too traditional for my taste.,Fall fashion is a letdown. The designs lack creativity, and I was hoping for more innovative takes on autumn trends.","[0.9199, 0.0, 0.8, 0.4215, 0.0, 0.4019, 0.2263, -0.0951, 0.0, 0.0772, 0.7178]",0.315409091
82,#SeasonalFashion,#AutumnStyle,"Embracing the beauty of the season with #AutumnStyle! These outfits are a perfect blend of comfort and elegance.,#AutumnStyle has some nice pieces, but I'm not sure if they all fit my personal style.,Not feeling the #AutumnStyle. The colors are too muted, and the styles are too traditional for my liking.","[0.9245, 0.4215, 0.204, -0.0951, 0.4019]",0.37136
83,#SeasonalFashion,#FallFashionista,"Being a #FallFashionista with these chic and trendy outfits! Loving the bold choices for the season.,#FallFashionista has some interesting styles, but I'm not sure if they are practical for everyday wear.,Not impressed with #FallFashionista. The styles are too bold and attention-grabbing for my taste.","[0.8356, 0.4019, -0.3491, 0.0119]",0.225075
84,#SeasonalFashion,#AutumnVibes,"These autumn vibes are everything! The warm hues and cozy textures are making me excited for the upcoming season.,Autumn vibes are in full swing, and I'm here for it! The outfits evoke a sense of comfort and style that's perfect for fall.,Autumn vibes are nice, but I'm not sure if all the pieces fit my personal style. Some are a hit, while others are a miss.,The autumn vibes are there, but I expected a bit more variety in the designs. It's a bit too predictable for my taste.,Autumn vibes are not resonating with me. The colors are too dark, and the overall aesthetic is a bit too traditional for my liking.,I was expecting more from the autumn vibes collection, but it feels like the same old styles recycled. Not impressed.","[0.5562, 0.0, 0.7574, 0.4215, 0.204, -0.1531, 0.0, 0.0, 0.0, 0.4019, 0.0, -0.0209]",0.180583333
85,#SeasonalFashion,#FallEssentials,"These cozy #FallEssentials are a wardrobe must! Perfect for staying warm and stylish in the chilly weather.,#FallEssentials are practical, but I was expecting a bit more excitement and variety in the designs.,Not impressed with #FallEssentials. The styles are too basic, lacking the creativity I was hoping for.","[0.7088, 0.0, 0.6946, -0.3724, 0.6597]",0.33814
86,#CasualFashion,#CasualStyle,"Absolutely loving the laid-back vibe of this outfit!  Perfect blend of comfort and style. #CasualStyle, This look is so effortlessly chic!  Casual done right! #CasualStyle, Can't go wrong with a classic casual style! This outfit is giving me major fashion goals. #CasualStyle, Nice choice for a casual look. It's simple and easygoing. #CasualStyle, Casual vibes are always a good idea. This look seems comfy and practical. #CasualStyle, Not really feeling this casual ensemble. Looks a bit too plain for my taste. #CasualStyle, This casual style is a miss for me. Doesn't seem put together or thought out. #CasualStyle","[0.893, 0.6157, 0.7224, 0.7096, 0.5719, 0.1884, 0.0516]",0.536085714
87,#CasualFashion,#EverydayFashion,"Everyday fashion at its finest! This look is so versatile and practical.  #EverydayFashion, I love how this outfit effortlessly combines style and comfort for everyday wear.  #EverydayFashion, This everyday fashion choice is decent, nothing too standout but suitable for daily activities. #EverydayFashion, Honestly not feeling the vibes of this everyday fashion. It lacks personality and originality. #EverydayFashion, The everyday fashion here is a bit too bland for my taste. Needs a bit more flair and creativity. #EverydayFashion","[0.0, 0.7717, 0.0, 0.0, 0.3879, 0.4336]",0.265533333
88,#CasualFashion,#CasualChic,"Casual chic perfection! This outfit strikes the right balance between laid-back and stylish.  #CasualChic, Effortlessly pulling off the casual chic look! Love the combination of comfort and trendiness.  #CasualChic, Decent attempt at casual chic. It's stylish, but not sure it's anything groundbreaking. #CasualChic, Casual chic fail. The elements don't really come together, and it looks forced. #CasualChic, Not my favorite casual chic ensemble. Something seems off, and it's not as chic as it could be. #CasualChic","[0.6588, 0.8718, 0.4404, -0.3491, -0.1531, -0.4588, -0.2434, -0.2057]",0.0701125
89,#CasualFashion,#ComfortableFashion,"This comfortable fashion choice is a winner! Stylish and cozy – the perfect combo.  #ComfortableFashion, Can't go wrong with comfortable fashion like this. It looks easygoing and stylish.  #ComfortableFashion, Decent choice for comfortable fashion. It seems practical, if not particularly standout. #ComfortableFashion, This attempt at comfortable fashion falls flat. It looks more like loungewear than a fashion statement. #ComfortableFashion, Not feeling the comfortable fashion here. It's too casual and lacks the chic factor. #ComfortableFashion","[0.902, 0.8643, 0.5106, 0.0, 0.7264, -0.0444]",0.49315
90,#CasualFashion,#CasualOOTD,"This casual OOTD is on point! Love the combination of pieces – stylish and practical. #CasualOOTD, Casual OOTD goals! It looks comfy yet so chic. Perfect for a day out.  #CasualOOTD, Decent casual OOTD. It's nothing extraordinary but works for a relaxed day. #CasualOOTD, Not a fan of this casual OOTD. The pieces don't really complement each other well. #CasualOOTD, Casual OOTD disappointment. It lacks the wow factor and seems too generic. #CasualOOTD","[0.7424, 0.8321, 0.6908, 0.2354, 0.3182]",0.56378
91,#CasualFashion,#RelaxedVibes,"Absolutely loving the relaxed vibes of this look! So chill and stylish at the same time.  #RelaxedVibes, This outfit is giving off such calming vibes! Perfect for those laid-back days.  #RelaxedVibes, The relaxed vibes here are decent. It's not outstanding, but it captures a casual mood. #RelaxedVibes, Not feeling the relaxed vibes of this look. It seems a bit too sloppy and uncoordinated. #RelaxedVibes, The attempt at relaxed vibes falls short. It lacks the ease and grace expected. #RelaxedVibes","[0.838, 0.8439, -0.0052, 0.296, -0.4585, 0.8176]",0.388633333
92,#CasualFashion,#EffortlessStyle,"Nailing the effortless style game with this look! It's chic without even trying.  #EffortlessStyle, Effortlessly pulling off the casual chic look! Love the combination of comfort and trendiness.  #EffortlessStyle, Decent attempt at effortless style. It's stylish, but it doesn't stand out too much. #EffortlessStyle, This attempt at effortless style is a miss. It looks forced and not as easygoing as it should be. #EffortlessStyle, Not really buying into the whole effortless style thing here. It seems a bit contrived. #EffortlessStyle","[0.3382, 0.8718, 0.0, 0.0, -0.6769, 0.0]",0.08885
93,#CasualFashion,#CasualWardrobe,"A well-curated casual wardrobe is essential, and this look proves it!  #CasualWardrobe, Loving the variety in this casual wardrobe! So many options for different vibes.  #CasualWardrobe, Decent choices for a casual wardrobe. It's practical but doesn't have a wow factor. #CasualWardrobe, The casual wardrobe here is a bit underwhelming. It lacks diversity and excitement. #CasualWardrobe, Not a fan of this casual wardrobe. It seems like a collection of basics without much flair. #CasualWardrobe","[0.2023, 0.0, 0.7345, -0.573, 0.6124, 0.3265]",0.217116667
94,#CasualFashion,#CasualLook,"This casual look is giving me all the weekend feels!  Love the easygoing vibe. #CasualLook, Simple yet stylish – the perfect definition of a casual look!  #CasualLook, Adorable casual outfit! Sometimes less is more, and you're nailing it. #CasualLook, Decent casual look. Not too flashy, just right for a relaxed day. #CasualLook, The casual look is alright, nothing too special but suitable for everyday wear. #CasualLook, This casual look is a bit too plain for my taste. Needs a pop of something! #CasualLook, Not a fan of this casual look. It lacks the wow factor and seems too generic. #CasualLook","[0.8748, 0.6996, 0.6476, 0.0, 0.2023, 0.4939, 0.4215, -0.1603, 0.2714, 0.5629]",0.40137
95,#CasualFashion,#WeekendWear,"Weekend wear on point! This look is casual yet stylish, perfect for a relaxing day. #WeekendWear, Decent choice for weekend wear. It's practical, but nothing too standout. #WeekendWear, Not really feeling this weekend wear. It lacks the excitement and flair I look for. #WeekendWear","[0.2714, 0.7845, 0.0, 0.0, 0.3845]",0.28808
96,#CasualFashion,#ComfyFashion,"This comfy fashion choice is everything! Cozy and stylish – the perfect combo. #ComfyFashion, I'm all about comfy fashion, and this look is hitting all the right notes! #ComfyFashion, Can't get enough of comfy fashion, and this outfit is a winner in my book. #ComfyFashion, The comfy fashion vibe is cool, though this particular outfit doesn't stand out much. #ComfyFashion, Decent choice for comfy fashion. It looks comfortable, which is the main thing. #ComfyFashion, Not a fan of this comfy fashion look. It seems a bit too baggy and shapeless. #ComfyFashion, This comfy fashion attempt is a miss. It looks more like loungewear than a fashion statement. #ComfyFashion","[0.6114, 0.0, 0.0, 0.0, 0.5859, 0.3182, 0.0, 0.5106, 0.0, -0.2411, 0.2944]",0.189036364
97,#CasualFashion,#WeekendWear,"Weekend wear on point! This look is casual yet stylish, perfect for a relaxing day.  #WeekendWear, Decent choice for weekend wear. It's practical, but nothing too standout. #WeekendWear, Not really feeling this weekend wear. It lacks the excitement and flair I look for. #WeekendWear","[0.2714, 0.7845, 0.0, 0.0, 0.3845]",0.28808
98,#CasualFashion,#CasualOutfit,"Loving this casual outfit! It strikes the right balance between comfort and style.  #CasualOutfit, This casual outfit is okay. It's nothing extraordinary but works for a laid-back day. #CasualOutfit, The casual outfit here is a miss for me. It lacks cohesion and doesn't make a statement. #CasualOutfit","[0.7177, 0.2144, 0.0516]",0.3279
99,#CasualFashion,#CasualWear,"Casual wear done right! This ensemble is both comfortable and fashionable.  #CasualWear, Decent choice for casual wear. It's practical, if not particularly standout. #CasualWear, This attempt at casual wear falls short. It lacks the style factor I was hoping for. #CasualWear","[0.6588, 0.2023, 0.0, 0.5574]",0.354625
100,#CasualFashion,#EasyGoingStyle,"Easygoing style at its best! This look is effortlessly chic and perfect for a laid-back day.  #EasyGoingStyle, The easygoing style here is decent. It's not outstanding, but it captures a relaxed mood. #EasyGoingStyle, Not feeling the easygoing style of this look. It seems a bit too plain and uninspired. #EasyGoingStyle","[0.9117, -0.2311, 0.6486, -0.3252]",0.251
101,#CasualFashion,#CasualGlam,"Casual glam at its finest! This outfit combines comfort with a touch of glamour.  #CasualGlam, The casual glam here is okay. It's not too flashy but adds a bit of sparkle. #CasualGlam, This attempt at casual glam falls flat. It lacks the wow factor and looks a bit dull. #CasualGlam","[0.7901, 0.6757, 0.4404]",0.6354
102,#CasualFashion,#LeisureWear,"Leisure wear at its finest! Comfortable and stylish – the best of both worlds.  #LeisureWear, This leisure wear is okay. It looks practical, but there's nothing exceptional about it. #LeisureWear, The attempt at leisure wear falls short. It lacks the laid-back yet chic vibe I was expecting. #LeisureWear","[0.8313, 0.2263, 0.0, 0.2732]",0.3327
103,#CasualFashion,#CasualCharm,"This outfit has a delightful casual charm! It's easygoing and has a certain appeal.  #CasualCharm, Decent choice for casual charm. It's not too flashy but adds a pleasant touch. #CasualCharm, Not really feeling the casual charm here. It lacks that special something that makes it charming. #CasualCharm","[0.8999, 0.7717, 0.865]",0.845533333
104,#CasualFashion,#SimpleStyle,"Simple style done right! This look is effortlessly chic in its simplicity.  #SimpleStyle, This simple style is okay. It's not too flashy but captures an easygoing vibe. #SimpleStyle, The attempt at simple style falls flat. It lacks the sophistication and flair I was expecting. #SimpleStyle","[0.3382, 0.5267, 0.0]",0.2883
105,#CasualFashion,#CasualCool,"Casual cool vibes all the way! This outfit is trendy and laid-back.  #CasualCool, This casual cool look is okay. It's stylish, but nothing too out of the ordinary. #CasualCool, Not really feeling the casual cool factor here. It lacks the edge and charisma I look for. #CasualCool","[0.5255, 0.6124, 0.0, 0.417]",0.388725
106,#CasualFashion,#CasualLife,"Living the casual life in style! This outfit captures the essence of a carefree lifestyle.  #CasualLife, This casual life look is decent. It's not too flashy but embodies a relaxed mood. #CasualLife, Not feeling this casual life. It lacks the vibrancy and energy I associate with the lifestyle. #CasualLife","[0.5848, 0.6908, 0.4078]",0.561133333
107,#CasualFashion,#CasualEssentials,"These are casual essentials done right! The perfect pieces for a versatile and stylish wardrobe.  #CasualEssentials, Decent choices for casual essentials. They seem practical but lack a standout factor. #CasualEssentials, Not really feeling these casual essentials. They lack the variety and excitement I expect. #CasualEssentials","[0.6996, -0.3716, 0.335]",0.221
108,#CasualFashion,#WeekendCasual,"Weekend casual at its best! This look is comfortable, trendy, and perfect for a laid-back day.  #WeekendCasual, This weekend casual look is okay. It's not too flashy but captures a relaxed mood. #WeekendCasual, Not really feeling this weekend casual. It lacks the excitement and flair I look for on weekends. #WeekendCasual","[0.8622, 0.0, 0.5719, 0.7311, 0.5288]",0.5388
109,#CasualFashion,#EffortlessChic,"Effortless chic on display! This outfit makes looking stylish seem so easy and natural.  #EffortlessChic, This attempt at effortless chic is okay. It's stylish, but nothing too out of the ordinary. #EffortlessChic, Not really feeling the effortless chic here. It lacks the sophistication and flair I was expecting. #EffortlessChic","[0.8358, 0.4588, 0.0, 0.1314]",0.3565
110,#CasualFashion,#ComfyAndCool,"Comfy and cool vibes! This outfit strikes the right balance between comfort and trendiness.  #ComfyAndCool, This comfy and cool look is okay. It's practical, but there's nothing exceptional about it. #ComfyAndCool, The attempt at comfy and cool falls short. It lacks the edge and charisma I look for. #ComfyAndCool","[0.3802, 0.4939, 0.0, 0.3182]",0.298075
111,#CasualFashion,#CasualFashionista,"Total casual fashionista vibes! This look is on point, blending style and ease effortlessly.  #CasualFashionista, This casual fashionista look is decent. It's stylish, but nothing too groundbreaking. #CasualFashionista, Not really feeling the casual fashionista here. It lacks the boldness and flair I expect. #CasualFashionista","[0.3367, 0.3612, 0.2023, 0.0, 0.4546]",0.27096
112,#CasualFashion,#SimpleChic,"Simply chic and elegant! This outfit proves that simplicity can be incredibly stylish.  #SimpleChic, Decent attempt at simple chic. It's not too flashy but captures an easygoing vibe. #SimpleChic, The attempt at simple chic falls short. It lacks the sophistication and uniqueness I was expecting. #SimpleChic","[0.6696, 0.5423, 0.2732]",0.495033333
113,#CasualFashion,#CasualElegance,"Casual elegance at its finest! This ensemble strikes the perfect balance between comfort and sophistication.  #CasualElegance, This casual elegance look is okay. It's stylish, but not particularly standout. #CasualElegance, Not really feeling the casual elegance here. It lacks the refinement and charm I associate with elegance. #CasualElegance","[0.8356, 0.7003, 0.0, 0.8547]",0.59765
114,#CasualFashion,#CasualFlair,"Casual flair on display! This outfit is playful and stylish, adding a touch of fun to everyday fashion.  #CasualFlair, Decent choice for casual flair. It's not too flashy but adds a pleasant touch. #CasualFlair, The attempt at casual flair falls short. It lacks the vibrancy and excitement I was expecting. #CasualFlair","[0.6114, 0.5106, 0.705, 0.6124]",0.60985
115,#CasualFashion,#CasualRevolution,"Embracing the casual revolution! This look is both trendy and relaxed, a perfect reflection of the modern style movement.  #CasualRevolution, This casual revolution look is okay. It's stylish, but nothing too out of the ordinary. #CasualRevolution, Not really feeling the casual revolution here. It lacks the innovation and boldness I expect from a revolutionary style. #CasualRevolution","[0.6476, 0.5719, 0.4019, 0.0, 0.6785]",0.45998
116,#CasualFashion,#CasualMeetsChic,"Where casual meets chic! This outfit is a perfect fusion of comfort and style, creating a unique and trendy look.  #CasualMeetsChic, Decent attempt where casual meets chic. It's stylish, but not particularly standout. #CasualMeetsChic, Not really feeling where casual meets chic here. It lacks the seamless blend and impact I was expecting. #CasualMeetsChic","[0.8553, 0.296, 0.4404, 0.0, 0.3771]",0.39376
